review_id,review_text,sentiment
140,"Extremely frustrated, the design is defective.",negative
154,"Very disappointed, the warranty support stopped working after a week.",negative
36,Customer support was helpful and the size works great.,positive
146,"Waste of money, the instructions broke on the first use.",negative
43,Customer support was helpful and the design works great.,positive
134,"Poor quality, screen feels cheap and flimsy.",negative
177,"The user interface is decent for the price, could be better.",neutral
178,"It works, though the design design could be improved.",neutral
55,"This product exceeded my expectations, sound is fantastic.",positive
63,"Really happy with this purchase, camera is outstanding.",positive
15,"This product exceeded my expectations, packaging is fantastic.",positive
148,"Very disappointed, the material stopped working after a week.",negative
79,"Five stars, the battery life is durable and reliable.",positive
45,"Great value for money, battery life quality is excellent.",positive
119,"Extremely frustrated, the warranty support is defective.",negative
14,"I absolutely love the screen, works perfectly every time.",positive
166,"The packaging is decent for the price, could be better.",neutral
59,Customer support was helpful and the shipping speed works great.,positive
80,"This product exceeded my expectations, camera is fantastic.",positive
120,"Not worth the price, size quality is bad.",negative
116,"Not worth the price, battery life quality is bad.",negative
5,"This product exceeded my expectations, instructions is fantastic.",positive
194,"The design is decent for the price, could be better.",neutral
138,"Poor quality, shipping speed feels cheap and flimsy.",negative
150,"Waste of money, the sound broke on the first use.",negative
85,Customer service was unhelpful about the screen issue.,negative
139,"I regret buying this, the packaging does not work as advertised.",negative
176,"The camera is decent for the price, could be better.",neutral
109,Customer service was unhelpful about the performance issue.,negative
159,"Very disappointed, the warranty support stopped working after a week.",negative
74,"Great value for money, battery life quality is excellent.",positive
48,"I absolutely love the battery life, works perfectly every time.",positive
34,"Highly recommend this, the performance is exactly what I needed.",positive
190,Delivery took a while but the sound is acceptable.,neutral
192,"The instructions is okay, nothing special but does the job.",neutral
1,Fast delivery and the performance feels premium.,positive
160,"Poor quality, size feels cheap and flimsy.",negative
104,"Poor quality, battery life feels cheap and flimsy.",negative
29,Customer support was helpful and the size works great.,positive
165,"It works, though the user interface design could be improved.",neutral
51,"Highly recommend this, the size is exactly what I needed.",positive
83,"Extremely frustrated, the packaging is defective.",negative
171,"The connectivity is okay, nothing special but does the job.",neutral
56,"Really happy with this purchase, packaging is outstanding.",positive
8,"Five stars, the size is durable and reliable.",positive
87,Customer service was unhelpful about the warranty support issue.,negative
71,"Really happy with this purchase, performance is outstanding.",positive
125,"Terrible experience, warranty support arrived damaged.",negative
58,"This product exceeded my expectations, warranty support is fantastic.",positive
21,"Great value for money, instructions quality is excellent.",positive
198,"It works, though the camera design could be improved.",neutral
11,"Great value for money, warranty support quality is excellent.",positive
70,Customer support was helpful and the battery life works great.,positive
94,Customer service was unhelpful about the screen issue.,negative
44,"I absolutely love the user interface, works perfectly every time.",positive
180,Delivery took a while but the battery life is acceptable.,neutral
147,"I regret buying this, the warranty support does not work as advertised.",negative
187,"Average product, size works as expected, no surprises.",neutral
123,"Waste of money, the size broke on the first use.",negative
17,"Highly recommend this, the material is exactly what I needed.",positive
50,Customer support was helpful and the size works great.,positive
13,"This product exceeded my expectations, camera is fantastic.",positive
121,"Terrible experience, battery life arrived damaged.",negative
68,"Highly recommend this, the size is exactly what I needed.",positive
33,"This product exceeded my expectations, warranty support is fantastic.",positive
127,"Waste of money, the build quality broke on the first use.",negative
9,"Five stars, the user interface is durable and reliable.",positive
132,"Very disappointed, the battery life stopped working after a week.",negative
144,"Poor quality, screen feels cheap and flimsy.",negative
78,"Highly recommend this, the connectivity is exactly what I needed.",positive
6,"Five stars, the packaging is durable and reliable.",positive
52,Fast delivery and the battery life feels premium.,positive
168,"Average product, shipping speed works as expected, no surprises.",neutral
81,"Very disappointed, the shipping speed stopped working after a week.",negative
4,"I absolutely love the performance, works perfectly every time.",positive
72,Customer support was helpful and the battery life works great.,positive
98,"Terrible experience, material arrived damaged.",negative
60,Customer support was helpful and the screen works great.,positive
195,"It's fine, the build quality matches the description provided.",neutral
105,"Terrible experience, shipping speed arrived damaged.",negative
157,"Poor quality, battery life feels cheap and flimsy.",negative
54,"I absolutely love the build quality, works perfectly every time.",positive
112,"Waste of money, the material broke on the first use.",negative
92,"Terrible experience, camera arrived damaged.",negative
130,"Terrible experience, instructions arrived damaged.",negative
31,Fast delivery and the instructions feels premium.,positive
152,"Not worth the price, battery life quality is bad.",negative
172,"It works, though the user interface design could be improved.",neutral
182,Delivery took a while but the design is acceptable.,neutral
113,Customer service was unhelpful about the camera issue.,negative
49,"This product exceeded my expectations, user interface is fantastic.",positive
126,"Poor quality, warranty support feels cheap and flimsy.",negative
114,"Not worth the price, packaging quality is bad.",negative
3,"Five stars, the camera is durable and reliable.",positive
186,"The sound is okay, nothing special but does the job.",neutral
163,"It's fine, the build quality matches the description provided.",neutral
115,"Not worth the price, performance quality is bad.",negative
99,"I regret buying this, the build quality does not work as advertised.",negative
111,"Waste of money, the size broke on the first use.",negative
170,"Average product, size works as expected, no surprises.",neutral
53,"Highly recommend this, the battery life is exactly what I needed.",positive
91,"I regret buying this, the packaging does not work as advertised.",negative
86,Customer service was unhelpful about the design issue.,negative
38,Fast delivery and the camera feels premium.,positive
199,"The design is decent for the price, could be better.",neutral
69,"Highly recommend this, the size is exactly what I needed.",positive
89,"Not worth the price, build quality quality is bad.",negative
175,"It's fine, the material matches the description provided.",neutral
41,"Five stars, the warranty support is durable and reliable.",positive
66,Fast delivery and the instructions feels premium.,positive
75,Customer support was helpful and the material works great.,positive
19,"Really happy with this purchase, user interface is outstanding.",positive
161,"The material is decent for the price, could be better.",neutral
158,"Poor quality, material feels cheap and flimsy.",negative
35,"Great value for money, connectivity quality is excellent.",positive
18,"Really happy with this purchase, connectivity is outstanding.",positive
185,Delivery took a while but the material is acceptable.,neutral
110,"I regret buying this, the user interface does not work as advertised.",negative
93,"Waste of money, the sound broke on the first use.",negative
76,Customer support was helpful and the camera works great.,positive
